2243500,2296165
2235300,2297222
2252400,2297599
2265800,2297595
2264000,2297582
2272100,2297703
2264600,2298122
2264600,2298762
2271000,2299552
2265300,2300520
2270500,2301559
2262500,2302673
2267500,2303722
2259100,2304711
2267400,2305513
2261500,2306205
2276000,2306741
2295700,2307321
2293300,2308299
2289700,2309732
2275500,2311518
2275300,2313341
2276200,2315025
2277700,2316497
2293400,2317752
2289300,2319022
2289400,2320329
2292400,2321664
2306000,2323046
2315100,2324651
2327699,2326632
2337000,2329163
2349200,2332344
2347199,2336266
2350900,2340787
2364899,2345757
2362800,2351178
2364399,2356882
2367399,2362701
2371100,2368506
2364700,2374210
2397800,2379616
2382700,2385072
2384200,2390430
2377099,2395588
2369999,2400354
2365600,2404527
2368600,2407972
2376900,2410722
2378099,2412958
2368999,2414817
2389499,2416254
2384800,2417582
2370300,2418864
2367700,2419915
2337299,2420633
2342800,2420572
2340300,2419719
2338600,2418144
2336200,2415972
2353200,2413332
2355399,2410626
2362900,2408110
2357400,2406018
2353300,2404351
2354800,2403021
2347800,2401985
2354399,2401099
2351999,2400385
2353400,2399805
2350599,2399349
2340300,2398966
2325100,2398481
2345699,2397620
2338700,2396617
2334400,2395504
2353400,2394266
2345900,2393202
2371699,2392330
2385499,2392013
2384000,2392540
2386000,2393900
2380800,2395992
2386800,2398570
2387699,2401509
2384800,2404676
2387600,2407893
2397000,2411069
2396599,2414257
2394399,2417425
2398700,2420489
2393800,2423442
2389800,2426185
2403000,2428606
2400799,2430853
2358200,2432948
2367700,2434285
2383099,2434820
2395199,2434844
2400500,2434723
2406100,2434716
2417600,2435009
2417099,2435805
2415000,2437112
2414400,2438818
2433600,2440792
2441700,2443182
2439899,2446079
2432100,2449391
2436599,2452864
2437800,2456383
2434099,2459853
2433600,2463138
2445499,2466147
2442399,2469004
2437700,2471696
2426400,2474137
2446600,2476128
2430099,2477901
2429500,2479324
2428399,2480358
2431300,2481009
2432900,2481362
2413300,2481509
2434899,2481241
2413500,2480833
2417999,2480122
2422099,2479155
2427699,2478057
2405500,2476996
2421099,2475740
2423699,2474457
2421899,2473276
2440100,2472232
2444200,2471598
2455600,2471509
2455299,2472116
2456600,2473383
2469899,2475208
2471000,2477638
2468800,2480591
2468199,2483888
2474200,2487352
2474300,2490917
2472000,2494487
2469099,2497938
2467700,2501139
2473199,2504001
2474400,2506565
2469600,2508870
2474099,2510866
2478699,2512610
2472600,2514201
2472500,2515593
2437600,2516774
2441200,2517250
2465400,2516948
2465099,2516280
2469400,2515479
2430899,2514741
2427100,2513609
2429000,2511900
2454399,2509659
2445599,2507367
2439899,2505145
2445599,2502994
2445700,2501020
2448500,2499274
2460099,2497815
2474899,2496816
2478400,2496517
2460600,2496987
2468999,2497895
2468700,2499147
2465799,2500631
2492100,2502201
2500500,2504136
2501699,2506597
2500899,2509571
2491899,2512932
2497200,2516400
2499700,2519863
2500599,2523255
2493900,2526521
2494399,2529510
2489299,2532158
2490800,2534371
2500500,2536155
2503500,2537682
2512299,2539082
2523200,2540538
2528600,2542258
2531599,2544354
2546600,2546839
2543699,2549850
2539500,2553292
2546199,2556959
2550199,2560775
2546399,2564687
2549499,2568547
2552899,2572290
2554700,2575893
2557200,2579342
2557900,2582636
2571100,2585760
2561100,2588874
2565599,2591862
